Grupo de Idade;1872;1890;1900;1920;1940;1950;1960;1970;1980;1991;2000;2010;2022
0 a 4 anos;1045044;2121790;3001523;4593163;6439650;8370880;11193389;13811806;16423700;16521114;16375728;13796158;12704860
5 a 9 anos;1400073;2068685;2622485;4575530;5758816;7015527;10158423;13459508;14773741;17420159;16542327;14969375;13749440
10 a 14 anos;1046655;1709800;2062315;3909630;5328080;6308567;8560956;11859119;14263322;17047159;17348067;17166761;13674961
15 a 19 anos;1049797;1399778;1862761;4217917;4443923;5502315;7174811;10253283;13575971;15017472;17939815;33981744;28751884
20 a 24 anos;1056686;1351702;1573072;2139364;3813355;4991139;6237920;8285805;11513220;13564878;16141515;17245192;15466463
25 a 29 anos;1058148;1181548;1453300;2487431;3356370;4132271;5245848;6504069;9442217;12638078;13849665;17104414;15469723
30 a 39 anos;1154197;1802272;2040009;3560225;4901682;6286052;8486378;10754252;14039109;20527256;25290473;29633091;31645908
40 a 49 anos;838462;1233137;1350029;2401200;3441727;4365359;5950688;8082277;10377274;13959402;19268235;24842716;29712282
50 a 59 anos;574627;733361;771330;1451319;2044907;2650314;3752967;5228732;7250094;9407252;12507316;18416623;24167687
60 a 69 anos;355431;429554;355235;800866;1076139;1451468;2190638;3007637;4474511;6412918;8182035;11349930;17820621
70 anos ou mais;340299;243711;203164;433310;599395;753873;1140358;1708571;2741506;4309787;6353994;9240667;14292869
;;;;;;;;;;;;;